"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package-lock.json", "JSON", 0, 0, 18404, 0, 0, 0, 1, 18405
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package.json", "JSON", 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\index.html", "HTML", 0, 0, 0, 0, 24, 23, 1, 48
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\App.css", "CSS", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\App.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Banner.css", "CSS", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Banner.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\BreadCrumb.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Footer.css", "CSS", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Footer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Header.css", "CSS", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Header.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\About.js", "JavaScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Contact.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Home.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\OurStore.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 117, 19, 18470, 38, 24, 23, 70, 18761
