"filename", "language", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package-lock.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package.json", "JSON", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\add-cart.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\arrow.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\cart.svg", "XML", 0, 0, 67, 0, 0, 0, 0, 67
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\compare.svg", "XML", 0, 0, 11, 0, 0, 1, 0, 12
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\cross.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\del.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr3.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr4.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\img-zoom.svg", "XML", 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\menu.svg", "XML", 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\prodcompare.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\user.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\view.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 48
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wish-black.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wish.svg", "XML", 0, 0, 41, 0, 0, 0, 0, 41
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wishlist.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\App.css", "CSS", 0, 396, 0, 0, 0, 20, 92, 508
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Banner.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\BlogCard.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Footer.js", "JavaScript", 99, 0, 0, 0, 0, 0, 1, 100
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Header.css", "CSS", 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Header.js", "JavaScript", 133, 0, 0, 0, 0, 0, 1, 134
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Meta.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\ProductCard.js", "JavaScript", 119, 0, 0, 0, 0, 0, 4, 123
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\SpecialProduct.js", "JavaScript", 61, 0, 0, 0, 0, 0, 2, 63
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Home.js", "JavaScript", 300, 0, 0, 0, 0, 8, 4, 312
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\OurStore.js", "JavaScript", 262, 0, 0, 0, 0, 0, 3, 265
"Total", "-", 1026, 391, 255, 18, 13, 29, 113, 1845
